video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=kM4F1BlHVZU&pp=ygUMbW9uc3RlciBmaXNo,/@DEX_HORROR,DEX HORROR ,[RARE MOMENT] Walking On The Water Surface With Giant Fish (ZOONOMALY),1.3M,1 year,[RARE MOMENT] Walking On The Water Surface With Giant Fish (ZOONOMALY) Thanks for watching! Please subscribe to my ...,2026-01-20 22:26:27.398958
/shorts/ga5qDDqPFTY,/@ExcitedBro,Excited Bro,Little Brother Steps on Fish & Turns Into a GIANT Monster Fish! 😱🐟,12M,4 months,Little Brother Steps on Fish & Turns Into a GIANT Monster Fish! Welcome to [Excited Bro]! Get ready for nonstop ...,2026-01-20 22:26:27.401770
/shorts/c5u87r-08aE,/@Aqualion_N_nature,Aqualion N nature,"Meet the rare Snakehead, a fish like no other#snakeheadfish#snakehead#fish #shorts#aquarium#rarefish",249K,6 months,"... monster fish tank customise, monster fish tank build, monster fish tank tour, monster fish tank setting, monster fish tank design, ...",2026-01-20 22:26:27.404374
/shorts/7-HwtKOUcg4,/@BrokeBoysFishing,Broke Boys Fishing,A Monster Fish is Following us 😮🐟 #fishing,2.6M,4 months,Some kind of monster has been eating fish straight off our jug lines and ruining our mission to catch a giant catfish to put in our ...,2026-01-20 22:26:27.408627
/shorts/8vrHAw-Mp1I,/@TiagoBizarro,OFF DE HOOK,🔥 Master the Art of Summoning & Catching MONSTER Fish!,17M,7 months,"Welcome back guys! Today, was an EPIC fishing adventure! watch as I, tackle one of the ocean's fiercest creatures—the stunning ...",2026-01-20 22:26:27.409927
/shorts/32P64hE_UV0,/@BassfishingProductionShorts,Bass fishing Productions Shorts,I Saved a Monster Fish! #rescue #fish #animals #aquarium #bassfishingproductions #pond #fishtank,18M,1 year,I Saved a Monster Fish!,2026-01-20 22:26:27.411053
/shorts/2wR8aMdEp0s,/@TitanThe,The Titan,Fish eating fish,1.7M,11 months,Subcribes for more: https://www.youtube.com/@TitanThe ----------------------------------------------- #thetitan #titan #titans #monsters ...,2026-01-20 22:26:27.412228
/watch?v=uKhvsgBHF4Q&t=387s&pp=ygUMbW9uc3RlciBmaXNo,/@BlacktipH,BlacktipH,Greatest Fishing Videos of All Time,22M,3 years,"Our host, Josh Jorgensen, is an extreme angler who has an adrenaline seeking appetite for monster fish! Whether it's catching ...",2026-01-20 22:26:27.413941
/shorts/4SlAEcGUmY0,/@sushi.monsters,Sushi Monsters,Rich Fish 💰,10M,4 months,Twitch: https://www.twitch.tv/sushimonsterss Telegram: https://t.me/sushimonsters Instagram: ...,2026-01-20 22:26:27.417187
/shorts/cLqmcLpWQas,/@HawaStrike,Hawa Strike 🩷,Insane‼️This Guy Fights a Monster Fish With a Tiny STICK! #shorts #fish #fishing #tranding,2.3M,3 months,amazing #viralvideo.,2026-01-20 22:26:27.419316
/shorts/sGG_WoG_vng,/@RAWWFishing,RAWWFishing,WHEN FEEDING THE SHARKS GOES RIGHT,14M,2 years,Buy Rawwfishing Merchandise Here - https://www.Rawwfishing.com My Socials : Instagram - https://www.instagram.com/raww/ ...,2026-01-20 22:26:27.420451
/watch?v=7BLWKTWjAVQ&pp=ygUMbW9uc3RlciBmaXNo,/@PredatoryFins,Predatory Fins,Top 10 MONSTER FISH TO OWN!!!,124K,2 years,"We are showing you guys our top 5 and top 10 FAVORITE fish / monster fish of all time. And yes, we have them. These are our ...",2026-01-20 22:26:27.421967
